topic,term,beta
4,accord,1.0776660488549168e-4
5,accord,5.5996955122552355e-5
6,accord,3.285204151998572e-4
7,accord,0.0010960844982376924
8,accord,2.059610962478135e-5
9,accord,2.0151419003565542e-4
10,accord,3.8460978793648115e-4
1,account,1.2838480978344023e-5
2,account,6.941396941457026e-4
3,account,7.419728326875562e-4
4,account,8.592315938443224e-4
5,account,2.7236322119659616e-4
6,account,3.017156423111235e-4
7,account,7.408025146319115e-4
8,account,6.676460684167504e-5
9,account,1.4388162756570803e-4
10,account,4.450984883623431e-4
1,accru,4.198904407870825e-4
2,accru,9.822504875299067e-6
3,accru,7.396086305605243e-8
4,accru,5.462445894017323e-223
5,accru,3.454792792232305e-238
6,accru,1.7661793036161586e-12
7,accru,5.982731706620489e-5
8,accru,1.0546485398349039e-4
9,accru,9.428945919547266e-19
10,accru,2.4417644099891275e-5
1,accumul,2.2441358902138318e-4
2,accumul,1.6011734001851878e-4
3,accumul,2.8935793165318853e-4
4,accumul,3.7353850145530694e-5
5,accumul,3.357306914765814e-11
6,accumul,3.24944120294051e-5
7,accumul,2.0035145362265244e-4
8,accumul,1.9950718521983083e-6
9,accumul,3.069975126849887e-4
10,accumul,1.0456619423044413e-19
1,accur,6.312515769507968e-5
2,accur,2.790265251012284e-4
3,accur,6.948833361861729e-5
4,accur,8.350873979759909e-215
5,accur,8.242186540167412e-6
6,accur,5.088683760775083e-5
7,accur,6.12456174169992e-5
8,accur,8.287130315713069e-5
9,accur,8.408947936557585e-5
10,accur,1.110281060151318e-4
1,accuraci,1.3905066756097491e-5
2,accuraci,1.53183572759018e-4
3,accuraci,3.697316931616085e-5
4,accuraci,3.960086275144993e-203
5,accuraci,7.349032277218328e-5
6,accuraci,1.5378406766548422e-18
7,accuraci,5.059409281520803e-19
8,accuraci,1.2764796704653793e-91
9,accuraci,1.075866483398689e-293
10,accuraci,2.0160897190212418e-169
1,accus,9.685742408278919e-5
2,accus,5.395113827901506e-5
3,accus,1.2275565423371266e-5
4,accus,6.1429020482950855e-21
5,accus,8.647073587213509e-112
6,accus,2.1743446454055142e-12
7,accus,7.707735005518294e-7
8,accus,1.0330229133409375e-4
9,accus,9.591716787303054e-6
10,accus,1.633479526516711e-276
1,accustom,2.863480617641244e-6
2,accustom,4.46963900479789e-5
3,accustom,8.782805431717496e-5
4,accustom,1.266921217332031e-74
5,accustom,3.0451051244205583e-78
6,accustom,3.635016374406072e-5
7,accustom,2.3124735242183008e-24
8,accustom,1.121820599504525e-4
9,accustom,1.206892215598692e-14
10,accustom,5.009727820503128e-14
1,acknowledg,5.122454511720418e-10
2,acknowledg,4.689704812575383e-5
3,acknowledg,1.1254609293444626e-4
4,acknowledg,5.0051595306872305e-5
5,acknowledg,1.338600912734808e-4
6,acknowledg,2.705300915410787e-6
7,acknowledg,1.0801374002169031e-4
8,acknowledg,1.3031294956914884e-4
9,acknowledg,3.488516199579042e-5
10,acknowledg,1.3299802287343674e-4
1,acquir,7.04294107977839e-5
2,acquir,3.3295341881869894e-4
3,acquir,2.3783432576757806e-4
4,acquir,3.764465915178456e-5
5,acquir,1.1801862061138515e-4
6,acquir,1.0622858916069081e-4
7,acquir,1.4970939043394222e-4
8,acquir,2.763113287362932e-4
9,acquir,1.806446092687655e-8
10,acquir,2.4079318951996414e-5
1,acquisit,1.119459649592076e-4
2,acquisit,2.0660677728195234e-4
3,acquisit,1.7516818673210105e-5
4,acquisit,6.759802430586227e-14
5,acquisit,3.2533475687977013e-5
6,acquisit,4.9174834513463135e-5
7,acquisit,3.860395770470925e-5
8,acquisit,1.832488259109853e-5
9,acquisit,6.449587277152106e-16
10,acquisit,9.903027107017055e-6
1,acr,3.481916386194382e-4
2,acr,4.4270691764886473e-4
3,acr,8.324435583581024e-5
4,acr,7.527229681203665e-5
5,acr,7.927892995097594e-50
6,acr,1.3399680350666024e-4
7,acr,1.7702807042543604e-4
8,acr,2.5401335414173155e-4
9,acr,5.921072297918469e-5
10,acr,3.454602112360198e-4
1,act,0.002245793637448788
2,act,0.0029616535956381983
3,act,0.002924910121999508
4,act,0.001957030802479367
5,act,0.001674434733898229
6,act,0.003950031066303345
7,act,0.002818892411766151
8,act,0.0022262748236400363
9,act,0.0010288502378828076
10,act,0.0041463000357385435
1,activ,5.313105683233292e-4
2,activ,0.0011043333381728553
3,activ,4.853365326556903e-4
4,activ,1.303077067399039e-4
5,activ,6.319544377378503e-5
6,activ,0.0014161669666826883
7,activ,0.0020886094455751913
8,activ,8.577210349638216e-4
9,activ,0.001266476924559425
10,activ,0.0015958623113407774
1,actual,0.0019971280845423886
2,actual,6.909017123372636e-4
3,actual,9.083384585093376e-4
4,actual,7.553148058288004e-4
5,actual,4.2313100447746894e-5
6,actual,2.2594523190136586e-4
7,actual,2.500616002659388e-4
8,actual,6.605708942075104e-4
9,actual,2.8518827680866e-4
10,actual,2.534974875305096e-4
1,acut,1.0428046942543739e-4
2,acut,3.758973605712808e-5
3,acut,4.109768603927857e-5
4,acut,1.2937566359651376e-47
5,acut,2.372819610886087e-22
6,acut,1.863370454955422e-4
7,acut,3.6068954076324823e-4
8,acut,3.8085711126228446e-6
9,acut,9.523521861867839e-7
10,acut,9.830280192275226e-5
1,ad,3.044008699153992e-4
2,ad,6.039563543286208e-4
3,ad,1.0994452082380909e-4
4,ad,1.4985611372522964e-4
5,ad,3.415258466139761e-4
6,ad,3.6889294198849654e-4
7,ad,2.1599446879486212e-4
8,ad,4.120552141240315e-4
9,ad,1.7458494243570452e-4
10,ad,4.988212521118481e-4
1,addit,0.002209717555676034
2,addit,0.0010151993115921822
3,addit,6.615435574698418e-4
4,addit,1.1504668649234986e-4
5,addit,5.496344757575036e-4
6,addit,0.0028458769728830885
7,addit,0.001997523636108877
8,addit,3.393010093420762e-4
9,addit,8.128916058780724e-4
10,addit,0.0021465600876837366
1,address,8.558725562044067e-5
2,address,4.509385810767336e-4
3,address,1.2689157879075614e-4
4,address,6.312498502230593e-4
5,address,5.789044379004971e-4
6,address,7.091990454797654e-4
7,address,1.347800881356656e-5
8,address,0.0011499415696762058
9,address,2.560339703477059e-13
10,address,9.955605325128304e-4
1,adequ,8.543197811026332e-4
2,adequ,7.724321310972368e-4
3,adequ,9.836156007247594e-4
4,adequ,1.0635687854313046e-19
5,adequ,2.601039678837109e-4
6,adequ,8.555423336035433e-4
7,adequ,0.0015907244125255488
8,adequ,0.0015870082260366594
9,adequ,8.687710882589365e-4
10,adequ,4.8193769126867196e-4
1,adher,1.1952652241321416e-4
2,adher,1.3273174165485016e-4
3,adher,6.410403477267531e-6
4,adher,1.79148430730658e-136
5,adher,7.349032277218654e-5
6,adher,1.3525901612727648e-13
7,adher,6.147212116838217e-4
8,adher,8.361532024943264e-5
9,adher,4.3239901933076684e-5
10,adher,2.4417644559724808e-5
1,adjac,1.1644237558515353e-4
2,adjac,5.360572329675748e-5
3,adjac,8.818337718192184e-5
4,adjac,3.071250062777022e-232
5,adjac,1.138123471889739e-294
6,adjac,3.613040212017856e-15
7,adjac,5.0949187690059986e-17
8,adjac,1.870460199690843e-36
9,adjac,2.9963151153394404e-264
10,adjac,7.325293400652477e-5
1,adjudg,7.672487343865528e-5
2,adjudg,1.1678709087320657e-5
3,adjudg,2.3868174336811635e-5
4,adjudg,2.564995696288e-301
5,adjudg,4.442315352021427e-299
6,adjudg,1.344756334892011e-308
7,adjudg,7.386725043892529e-11
8,adjudg,2.845664141439083e-32
9,adjudg,3.3852204680002223e-304
10,adjudg,1.0178187028287035e-290
1,adjust,1.8323334069597107e-4
2,adjust,7.558477779112254e-4
3,adjust,8.104061024720848e-5
4,adjust,1.397040915485208e-20
5,adjust,1.6065893454630307e-5
6,adjust,4.961672651148889e-4
7,adjust,0.0016040207471258
8,adjust,7.293381436639336e-4
9,adjust,5.459914644758309e-4
10,adjust,2.466525927981305e-4
1,adjut,7.367148340765446e-15
2,adjut,8.854177444341117e-5
3,adjut,1.456191567074937e-298
4,adjut,8.8432375e-317
5,adjut,6.2093475456e-314
6,adjut,4e-323
7,adjut,6.359757494170149e-189
8,adjut,4.902879559665377e-258
9,adjut,1.015241e-317
10,adjut,2.2016448091671424e-308
1,administ,2.521145053837732e-4
2,administ,1.2695495415808862e-4
3,administ,1.4092767614821714e-4
4,administ,7.186537720438181e-29
5,administ,1.3688043906839013e-4
6,administ,2.3974851855852728e-4
7,administ,4.703597724572239e-4
8,administ,3.236688462064837e-4
9,administ,8.951932113830012e-5
10,administ,1.9892648559825154e-4
1,administr,0.0012334039145905325
2,administr,0.0024882897728729734
3,administr,0.001252764621223717
4,administr,6.203705881327704e-4
5,administr,9.288078482110113e-4
6,administr,0.0042166328827483454
7,administr,0.003108623395939628
8,administr,8.295490102951267e-4
9,administr,7.659792685917332e-4
10,administr,0.010416231685140638
1,admir,1.7046612342326925e-4
2,admir,5.737450556967991e-4
3,admir,2.8249793488502046e-4
4,admir,3.694245615489188e-5
5,admir,2.897505236972823e-5
6,admir,2.4851945394188983e-5
7,admir,6.656958045298954e-17
8,admir,2.1145607734551373e-4
9,admir,2.946369505998757e-4
10,admir,2.3808242612704928e-17
1,admiss,1.2233890307778686e-4
2,admiss,2.7239313576139252e-5
3,admiss,1.1727856088098167e-4
4,admiss,9.119377681135538e-15
5,admiss,1.0772605549115884e-37
6,admiss,4.833785999909793e-5
7,admiss,1.964262719529503e-4
8,admiss,6.41308692033044e-5
9,admiss,7.161256595496461e-7
10,admiss,5.9885528927095705e-5
1,admit,2.3886466499477022e-4
2,admit,3.005210828328782e-4
3,admit,3.1499419121662996e-4
4,admit,1.4431865899504383e-4
5,admit,3.633855200300959e-10
6,admit,5.654975647735648e-6
7,admit,1.794931132336949e-4
8,admit,3.435889090484665e-4
9,admit,2.731717910625266e-4
10,admit,2.5697906811994792e-5
1,adopt,0.0016701835021943729
2,adopt,0.0018118372865868866
3,adopt,4.783070864162819e-4
4,adopt,3.848455942225838e-4
5,adopt,5.582218732601361e-4
6,adopt,1.4654629075300463e-4
7,adopt,9.90014457016908e-4
8,adopt,4.6361012691315196e-4
9,adopt,3.3854517319024523e-4
10,adopt,9.312248707325679e-4
1,adulter,1.4919971976887192e-8
2,adulter,2.2132063193839075e-5
3,adulter,6.752059027661886e-5
4,adulter,3.87075943985167e-307
5,adulter,1.1755493067791023e-305
6,adulter,9.14572303e-316
7,adulter,3.526350003806431e-283
8,adulter,7.502233862477822e-261
9,adulter,4.02834442555274e-309
10,adulter,9.467404079228789e-302
1,advanc,0.00130197102639264
2,advanc,6.181596019867013e-4
3,advanc,0.0010340210166747592
4,advanc,7.467713561347955e-4
5,advanc,4.971342179224879e-4
6,advanc,0.0010516811241756908
7,advanc,0.0014112152529650018
8,advanc,1.079328785608281e-4
9,advanc,0.001945894193530661
10,advanc,4.3424130536016416e-4
1,advantag,0.0019645861110081627
2,advantag,4.968039010610962e-4
3,advantag,7.314898930014877e-4
4,advantag,1.8431818962582022e-4
5,advantag,1.3589783000009166e-4
6,advantag,1.092935319650429e-4
7,advantag,4.7516017393241434e-4
8,advantag,9.168901546250806e-4
9,advantag,2.7723156361920655e-4
10,advantag,2.1096050880533426e-4
1,advert,2.343283319274095e-13
2,advert,4.427088706120487e-5
3,advert,3.91662301726661e-296
4,advert,3.48530889e-315
5,advert,1.5454249004164e-311
6,advert,1.813e-321
7,advert,9.140753152e-314
8,advert,1.4319414180971845e-254
9,advert,3.946495614e-315
10,advert,3.65687021306997e-307
1,advic,5.60586301584755e-5
2,advic,4.103055305362255e-4
3,advic,5.14951008546184e-5
4,advic,7.131118760014429e-5
5,advic,2.348788201140138e-4
6,advic,1.2226020516201442e-6
7,advic,1.3204091620295082e-4
8,advic,1.553334115495375e-4
9,advic,8.929160111619813e-20
10,advic,1.2589572027748932e-4
1,advis,1.410410138399983e-4
2,advis,7.238228401678143e-4
3,advis,2.932540408303698e-4
4,advis,5.5478092590484e-5
5,advis,5.352745489063751e-5
6,advis,1.5070427774157451e-6
7,advis,4.751275814641517e-4
8,advis,1.7432638092227185e-4
9,advis,1.8817114225926814e-4
10,advis,1.7209305846245177e-4
1,advoc,6.976721092615786e-4
2,advoc,7.977203104555859e-5
3,advoc,5.109388756719276e-4
4,advoc,7.314711663338029e-5
5,advoc,4.258876594707253e-5
6,advoc,3.352606275778123e-5
7,advoc,1.0640647153519747e-4
8,advoc,3.3619119538843316e-6
9,advoc,1.514816325910052e-6
10,advoc,1.8366135580630564e-5
1,affair,5.816620864089256e-4
2,affair,6.163089486780383e-4
3,affair,4.069239107351509e-4
4,affair,5.183988984340121e-5
5,affair,9.242529414594642e-5
6,affair,0.0010967269976024036
7,affair,4.39947252254244e-4
8,affair,0.002207816162230506
9,affair,1.341487969654847e-4
10,affair,5.613329573668317e-5
1,affect,5.294703808481455e-4
2,affect,4.1668699518467966e-4
3,affect,7.228887480689398e-4
4,affect,1.6488256570089095e-4
5,affect,1.4523335005703973e-4
6,affect,3.831619361196613e-4
7,affect,9.709752587221688e-4
8,affect,8.145705936465892e-4
9,affect,8.218038117971637e-5
10,affect,4.329688076764204e-4
1,affili,3.5628275988953084e-5
2,affili,6.061251069245274e-5
3,affili,2.5367038055874667e-5
4,affili,7.314711663338029e-5
5,affili,3.4401225153353174e-5
6,affili,7.494534150068389e-6
7,affili,4.375516316710684e-5
8,affili,3.058411321997502e-5
9,affili,4.431861482421743e-10
10,affili,4.65760586654868e-5
1,afford,0.001223581419494251
2,afford,2.9910776150561064e-4
3,afford,4.5179213003230514e-4
4,afford,0.0012129376033580656
5,afford,1.3816713221489498e-4
6,afford,9.233098706565978e-4
7,afford,5.690327380753325e-4
8,afford,7.035543210205678e-4
9,afford,2.03824598511723e-4
10,afford,3.881954653886238e-4
1,africa,3.654618315277523e-12
2,africa,1.1073437392266815e-4
3,africa,9.02676282333012e-5
4,africa,3.079049348988815e-4
5,africa,4.5885007086859605e-4
6,africa,2.8887492389898135e-5
7,africa,2.523987504268861e-19
8,africa,1.584043702469864e-10
9,africa,8.37592511607251e-4
10,africa,0.0013254276731884747
1,afterward,7.341846728802243e-11
2,afterward,6.737564195530074e-5
3,afterward,6.654197910605263e-5
4,afterward,7.314711663338029e-5
5,afterward,5.279577561211243e-231
6,afterward,1.040346345363954e-305
7,afterward,8.572972756357178e-58
8,afterward,3.5560645246595485e-234
9,afterward,1.35124671932632e-302
10,afterward,6.069464548694185e-296
1,aggrandiz,8.99848582678137e-5
2,aggrandiz,9.41795258041898e-6
3,aggrandiz,6.1802364289003e-5
4,aggrandiz,1.4374812180986494e-298
5,aggrandiz,5.696110243589811e-298
6,aggrandiz,3.145717085877317e-307
7,aggrandiz,1.3541738838565215e-10
8,aggrandiz,4.565300319686565e-34
9,aggrandiz,7.094401207845455e-302
10,aggrandiz,2.6593005651521377e-281
1,aggreg,3.8457572022852033e-4
2,aggreg,2.3678823224254834e-4
3,aggreg,2.235934915433962e-4
4,aggreg,2.0490480346826104e-164
5,aggreg,2.1295788026007046e-78
6,aggreg,5.621146402489933e-18
7,aggreg,1.293721197395342e-4
8,aggreg,1.0280453254746241e-4
9,aggreg,5.842310209628865e-5
10,aggreg,4.591896021036564e-165
1,aggress,5.376742682713177e-4
2,aggress,1.8385866932674978e-10
3,aggress,1.4522017457633332e-5
4,aggress,1.641876874586311e-4
5,aggress,5.869654351858372e-4
6,aggress,2.1832377870113797e-5
7,aggress,2.0248042887581296e-4
8,aggress,6.682044207938154e-4
9,aggress,0.0031621691171050113
10,aggress,9.364781271225995e-4
1,agit,3.3800096044524443e-6
2,agit,6.912196227670473e-5
3,agit,4.928201213920766e-4
4,agit,4.0457271382608154e-219
5,agit,2.750709259551067e-288
6,agit,3.225254496296455e-295
7,agit,4.676675379482871e-5
8,agit,1.0967451771958066e-4
9,agit,1.8693684530237103e-12
10,agit,4.899164037680773e-211
1,agre,9.270279262050771e-4
2,agre,4.8258355719940686e-4
3,agre,1.472931984698308e-4
4,agre,0.0010088725224843527
5,agre,3.6890246841656416e-4
6,agre,1.9647320005000864e-4
7,agre,1.580702788967383e-4
8,agre,7.989797420794152e-4
9,agre,1.582756816294253e-4
10,agre,2.892603501104668e-4
1,agreement,5.73948413788459e-4
2,agreement,0.0010547976468237717
3,agreement,8.896754500674923e-4
4,agreement,8.681601305132501e-4
5,agreement,0.0016482323784334483
6,agreement,7.815891740508193e-4
7,agreement,0.001711418999704606
8,agreement,4.0435633750481406e-4
9,agreement,7.660990045845332e-4
10,agreement,0.002388440995830992
1,agricultur,0.0013385389904697854
2,agricultur,0.0010888407059997359
3,agricultur,7.738890510204753e-4
4,agricultur,7.856972481916981e-5
5,agricultur,8.593239350837208e-5
6,agricultur,9.440829490789327e-4
7,agricultur,0.006115940318057049
8,agricultur,0.0011708786728130036
9,agricultur,3.9928237236588535e-4
10,agricultur,0.0016785227770798761
1,agriculturist,5.763639555674727e-17
2,agriculturist,2.213544361209433e-5
3,agriculturist,1.6842829020124298e-295
4,agriculturist,9.9558053e-316
5,agriculturist,1.707582922026e-311
6,agriculturist,3.5e-323
7,agriculturist,1.2629405e-317
8,agriculturist,1.867256039794e-311
9,agriculturist,1.864845125e-314
10,agriculturist,1.169921615544009e-307
1,aid,9.191770054563466e-4
2,aid,8.271188700100244e-4
3,aid,7.878015909236773e-4
4,aid,5.653724053614222e-4
5,aid,4.526665312222458e-4
6,aid,0.0013952224437846987
7,aid,0.0016021527916018363
8,aid,2.9255140479777066e-4
9,aid,0.002177650386517537
10,aid,0.00150384334288834
1,aim,6.912490977490608e-4
2,aim,2.470679728479336e-4
3,aim,5.8906830754092e-4
4,aim,3.06811284567775e-4
5,aim,1.5821009979690774e-4
6,aim,5.199253994952087e-4
7,aim,1.2511835380007573e-11
8,aim,3.3978189157824905e-4
9,aim,6.120831393746243e-4
10,aim,1.5264376942439434e-4
1,alarm,1.6520676757214036e-4
2,alarm,5.2155360983872697e-8
3,alarm,4.060645717814066e-5
4,alarm,4.863049700881789e-27
5,alarm,8.051148757228787e-5
6,alarm,4.478806147352119e-5
7,alarm,2.811676465488419e-23
8,alarm,7.593714192201103e-27
9,alarm,1.9658541536410835e-8
10,alarm,4.326888332717363e-6
1,alaska,1.2954631320085072e-4
2,alaska,5.48930137425725e-4
3,alaska,8.272593049823096e-4
4,alaska,1.1824905048281886e-19
5,alaska,2.090849273355791e-10
6,alaska,3.3197405884638264e-4
7,alaska,2.253895619564217e-5
8,alaska,1.4385200402554463e-4
9,alaska,2.0343788419099966e-5
10,alaska,6.971624318774815e-4
1,alaskan,1.5398764300937498e-4
2,alaskan,3.613783353863336e-5
3,alaskan,1.2327675077843401e-4
4,alaskan,1.253515539819538e-79
5,alaskan,2.3031997641061605e-56
6,alaskan,8.271671077950272e-6
7,alaskan,1.416764841809049e-12
8,alaskan,1.9558573965754227e-6
9,alaskan,5.814198776006024e-256
10,alaskan,1.5905846821270942e-4
1,alexand,8.628522113348835e-17
2,alexand,2.2135443612074396e-5
3,alexand,1.2008661135546103e-295
4,alexand,2.75913065e-315
5,alexand,4.896427598546e-311
6,alexand,6.2e-322
7,alexand,4.328019e-317
8,alexand,2.5892383870555e-310
9,alexand,4.529996064e-314
10,alexand,3.019382317685783e-307
1,alien,3.0617531812348193e-4
2,alien,1.292727796036982e-4
3,alien,3.315022348303928e-4
4,alien,1.8944667111028794e-4
5,alien,1.5150713707228286e-14
6,alien,7.124635678414006e-5
7,alien,3.690001056964207e-4
8,alien,3.417765100354278e-4
9,alien,1.5807028168066198e-19
10,alien,1.7775544983169794e-4
1,alik,5.789096240883043e-4
2,alik,2.143309699050909e-4
3,alik,6.293433010398573e-4
4,alik,1.6716749089812593e-4
5,alik,8.346947160306276e-5
6,alik,2.693031143386515e-5
7,alik,3.034524594425247e-5
8,alik,6.177071998340808e-4
9,alik,3.3009712885466284e-4
10,alik,1.7059771835152627e-4
1,aliv,5.949191403893449e-6
2,aliv,2.3235133781005696e-5
3,aliv,2.490152055449069e-4
4,aliv,2.736036953566808e-4
5,aliv,2.090610847075857e-4
6,aliv,6.303503285426281e-6
7,aliv,9.399869154931338e-5
8,aliv,1.9767394517041312e-4
9,aliv,7.108772186169156e-8
10,aliv,7.164627462265022e-5
1,allay,1.5597997284996028e-15
2,allay,6.640633067843888e-5
3,allay,1.8516658199720457e-284
4,allay,1.0366553336729429e-299
5,allay,7.853147877603278e-291
6,allay,3.552488360106976e-14
7,allay,4.8055772096836285e-11
8,allay,6.558443875520396e-95
9,allay,3.090459491433873e-5
10,allay,5.653028103596515e-183
1,alleg,4.9793428791882734e-5
2,alleg,1.6440223937280027e-4
3,alleg,4.51878709840017e-5
4,alleg,2.394632397620342e-205
5,alleg,6.16517513114887e-5
6,alleg,6.280369294618947e-6
7,alleg,1.694676878056697e-22
8,alleg,2.7507964124928692e-17
9,alleg,9.126884765715983e-5
10,alleg,1.087704284704918e-185
1,allot,2.0075051483006552e-4
2,allot,1.9157712962505114e-5
3,allot,1.0857265490724857e-4
4,allot,5.836895652489442e-210
5,allot,3.674516138607675e-5
